Date,Price,Open,High,Low,Vol.,Change %,Returns,Residuals,Shock_ModelBased,Shock_EventBased
2018-01-03,8.24,8.24,8.24,8.24,7.96K,0.24%,0.0024330900243307862,,0,1
2018-01-04,8.18,8.18,8.18,8.18,10.38K,-0.73%,-0.00728155339805836,,0,0
2018-01-05,8.19,8.19,8.19,8.19,5.56K,0.12%,0.0012224938875304847,,0,0
2018-01-08,8.07,8.07,8.07,8.07,14.25K,-1.47%,-0.0146520146520146,,0,0
2018-01-09,8.19,8.19,8.19,8.19,8.97K,1.49%,0.014869888475836257,,0,0
2018-01-10,8.28,8.28,8.28,8.28,9.21K,1.10%,0.01098901098901095,0.010895343574134375,0,0
2018-01-11,8.21,8.21,8.21,8.21,17.69K,-0.85%,-0.008454106280193052,-0.011142525405194344,0,0
2018-01-12,8.26,8.26,8.26,8.26,8.32K,0.61%,0.006090133982947554,0.0039653240400316595,0,0
2018-01-15,8.2,8.2,8.2,8.2,8.77K,-0.73%,-0.007263922518159882,-0.009604252859170992,0,0
2018-01-16,8.45,8.45,8.45,8.45,0.00K,3.05%,0.030487804878048808,0.029126269973553127,1,0
2018-01-17,8.58,8.58,8.58,8.58,0.13K,1.54%,0.015384615384615552,0.016103481543624978,0,0
2018-01-18,8.89,8.89,8.89,8.89,0.05K,3.61%,0.036130536130536184,0.03262838162206999,1,0
2018-01-19,9.25,9.25,9.25,9.25,0.00K,4.05%,0.040494938132733305,0.039925397302232275,1,0
2018-01-22,9.31,9.31,9.31,9.31,0.10K,0.65%,0.006486486486486642,0.003265105121035423,0,0
2018-01-23,9.57,9.57,9.57,9.57,0.12K,2.79%,0.027926960257787403,0.026468350659041143,0,0
2018-01-24,10.02,10.02,10.02,10.02,1.00K,4.70%,0.047021943573667624,0.04658208020693906,1,0
2018-01-25,9.82,9.82,9.82,9.82,0.02K,-2.00%,-0.019960079840319334,-0.019534611151870808,0,0
2018-01-26,9.67,9.67,9.67,9.67,0.15K,-1.53%,-0.015274949083503131,-0.017093054725682507,0,0
2018-01-29,9.58,9.58,9.58,9.58,0.38K,-0.93%,-0.009307135470527417,-0.010313993760568197,0,0
2018-01-30,9.46,9.46,9.46,9.46,0.03K,-1.25%,-0.012526096033402823,-0.012565165819470186,0,0
