Date,Close,High,Low,Open,Volume
02/01/18,8.579463005,8.579463005,8.479702119,8.497840069,102000
03/01/18,8.561325073,8.588533298,8.534117713,8.588533298,64200
04/01/18,8.497840881,8.570394417,8.452494705,8.543187057,364000
05/01/18,8.525048256,8.561325024,8.497840896,8.534117664,167200
08/01/18,8.652017593,8.652017593,8.543187287,8.552256695,155000
09/01/18,8.633877754,8.69736187,8.597600128,8.688292463,102900
10/01/18,8.615742683,8.65201946,8.597603863,8.65201946,80300
11/01/18,8.788056374,8.797125783,8.670157508,8.679226053,106000
12/01/18,8.760847092,8.815262672,8.751777684,8.815262672,63500
16/01/18,8.724570274,8.860608793,8.688293509,8.851539385,247500
17/01/18,8.778985977,8.778985977,8.679224222,8.724570396,88300
18/01/18,8.715501785,8.77898678,8.679225016,8.742710011,128800
19/01/18,8.733640671,8.751778623,8.697363901,8.751778623,58400
22/01/18,8.733640671,8.751778623,8.724571262,8.724571262,62700
23/01/18,8.706433296,8.769917426,8.688294479,8.760848018,139100
24/01/18,8.670157433,8.733641569,8.61574184,8.706434206,132900
25/01/18,8.697361946,8.733638707,8.670154591,8.724569301,62000
26/01/18,8.697361946,8.706431353,8.63387783,8.679223133,69100
29/01/18,8.670157433,8.733641569,8.652018614,8.733641569,52800
30/01/18,8.670157433,8.72457216,8.633880659,8.706434206,128200
31/01/18,8.679225922,8.769918286,8.661087968,8.760848877,164200
01/02/18,8.633877754,8.661085109,8.615738941,8.652015702,102700
02/02/18,8.443425179,8.55225547,8.443425179,8.55225547,67500
05/02/18,8.180419922,8.416218496,8.180419922,8.389011135,126000
06/02/18,8.252970695,8.271108642,7.962755765,8.035309282,312400
07/02/18,8.207626343,8.316456641,8.189487527,8.243903109,84600
08/02/18,7.989966869,8.234834859,7.989966869,8.198558088,60100
09/02/18,8.02624321,8.071588523,7.844858498,8.044381162,116000
12/02/18,8.171349525,8.198556884,8.062519228,8.07158777,118000
13/02/18,8.280179024,8.280179024,8.180418143,8.198556092,74600
14/02/18,8.389010429,8.398079837,8.171349826,8.171349826,47700
15/02/18,8.570392609,8.570392609,8.425285568,8.44342438,95900
16/02/18,8.606671333,8.642948102,8.552256613,8.597601925,35200
20/02/18,8.570392609,8.615738775,8.570392609,8.570392609,52100
21/02/18,8.615742683,8.706435058,8.588535317,8.624812094,102300
22/02/18,8.633877754,8.724569224,8.57946218,8.724569224,47300
23/02/18,8.579463005,8.652016534,8.525047426,8.652016534,59800
26/02/18,8.688293457,8.688293457,8.579463162,8.597601112,81000
27/02/18,8.561325073,8.706433011,8.561325073,8.661086834,77400
28/02/18,8.488770485,8.588532234,8.452493721,8.588532234,65400
01/03/18,8.434354782,8.515977707,8.370869804,8.497838895,36500
02/03/18,8.488770485,8.488770485,8.325525481,8.352732837,93900
05/03/18,8.515979767,8.52504831,8.425287414,8.434356822,43100
06/03/18,8.579463005,8.597600955,8.534116833,8.552255648,54900
07/03/18,8.597599983,8.615738796,8.525046463,8.561323223,32500
08/03/18,8.588533401,8.606671353,8.525048408,8.606671353,42900
09/03/18,8.652017593,8.661087002,8.606671416,8.652017593,47000
12/03/18,8.697361946,8.706431353,8.670154591,8.68829254,31600
13/03/18,8.679225922,8.760848877,8.624811195,8.724572104,38700
14/03/18,8.697361946,8.724569301,8.670154591,8.724569301,40500
15/03/18,8.706433296,8.778986835,8.670156527,8.733640657,32400
