Horizon,Response,Shock,Beta,SE,P-value,ETF,
1,ICLN_Returns,Shock_ModelBased,-0.001335639,0.001560216,0.392097308,ICLN,
3,ICLN_Returns,Shock_ModelBased,0.002619601,0.001571295,0.095685763,ICLN,
5,ICLN_Returns,Shock_ModelBased,0.002649915,0.00154626,0.086774536,ICLN,
10,ICLN_Returns,Shock_ModelBased,-0.000103043,0.001595146,0.948502565,ICLN,
20,ICLN_Returns,Shock_ModelBased,-0.0004484,0.001562438,0.774160945,ICLN,
1,XLE_Returns,Shock_ModelBased,0.000298756,0.001742499,0.863890335,XLE,
3,XLE_Returns,Shock_ModelBased,0.001244458,0.001773666,0.483015566,XLE,
5,XLE_Returns,Shock_ModelBased,0.003360131,0.001687756,0.046669856,XLE,
10,XLE_Returns,Shock_ModelBased,0.001391556,0.00182218,0.445177541,XLE,
20,XLE_Returns,Shock_ModelBased,-1.74E-05,0.001723089,0.991926902,XLE,
,,,,,,,
,,,,,,,
,,,,,,,
Horizon,Beta,SE (Std. Error),P-value,Significance,Interpretation,ETF,
1 day,-0.0013,0.0016,0.3921,Not significant,"Slight negative, not meaningful",ICLN,Green
3 days,0.0026,0.0016,0.0957,Borderline significant,Mild positive reaction,ICLN,
5 days,0.0026,0.0015,0.0868,Borderline significant,Mild positive reaction persists,ICLN,
10 days,-0.0001,0.0016,0.9485,Not significant,Effect fully fades away,ICLN,
20 days,-0.0004,0.0016,0.7742,Not significant,No long-term effect,ICLN,
Horizon,Beta,SE (Std. Error),P-value,Significance,Interpretation,ETF,
1 day,0.0003,0.0017,0.8639,Not significant,No immediate effect,XLE,Brown
3 days,0.0012,0.0018,0.483,Not significant,"Small positive reaction, unclear impact",XLE,
5 days,0.0034,0.0017,0.0467,Significant,Unexpected significant positive reaction,XLE,
10 days,0.0014,0.0018,0.4452,Not significant,Effect diminishes afterward,XLE,
20 days,~0,0.0017,0.9919,Not significant,"Fully reverted, no long-term effect",XLE,
